fecha;hora;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;fecha_hora;diferencia;diferencia_abs;diferencia_segundos;num_punto
2023-12-14;02:03:54;19,89;61.0;0.0;9.0;E2_P1;2023-12-14 02:03:54;0 days 00:00:42;0 days 00:00:42;42.0;0
2023-12-14;02:04:53;19,92;61.0;0.0;9.0;E2_P2;2023-12-14 02:04:53;0 days 00:00:59;0 days 00:00:59;59.0;0
2023-12-14;02:06:24;19,89;0.0;0.0;9.0;E2_P1;2023-12-14 02:06:24;0 days 00:01:31;0 days 00:01:31;91.0;0
2023-12-14;02:06:46;19,94;61.0;0.0;9.0;E2_P2;2023-12-14 02:06:46;0 days 00:00:22;0 days 00:00:22;22.0;0
2023-12-14;02:07:24;19,89;61.0;0.0;9.0;E2_P1;2023-12-14 02:07:24;0 days 00:00:38;0 days 00:00:38;38.0;0
2023-12-14;02:07:45;19,94;61.0;0.0;9.0;E2_P2;2023-12-14 02:07:45;0 days 00:00:21;0 days 00:00:21;21.0;0
2023-12-14;02:09:09;19,89;61.0;0.0;9.0;E2_P1;2023-12-14 02:09:09;0 days 00:01:24;0 days 00:01:24;84.0;0
2023-12-14;02:09:46;19,93;61.0;0.0;9.0;E2_P2;2023-12-14 02:09:46;0 days 00:00:37;0 days 00:00:37;37.0;0
2023-12-14;02:10:01;19,89;61.0;0.0;9.0;E2_P1;2023-12-14 02:10:01;0 days 00:00:15;0 days 00:00:15;15.0;0
2023-12-14;02:10:31;19,89;61.0;0.0;9.0;E2_P2;2023-12-14 02:10:31;0 days 00:00:30;0 days 00:00:30;30.0;0
2023-12-14;02:11:46;19,89;61.0;0.0;9.0;E2_P1;2023-12-14 02:11:46;0 days 00:01:15;0 days 00:01:15;75.0;0
2023-12-14;02:12:23;19,94;61.0;0.0;9.0;E2_P2;2023-12-14 02:12:23;0 days 00:00:37;0 days 00:00:37;37.0;0
2023-12-14;02:12:42;19,89;61.0;0.0;9.0;E2_P1;2023-12-14 02:12:42;0 days 00:00:19;0 days 00:00:19;19.0;0
2023-12-14;02:13:19;19,89;61.0;0.0;9.0;E2_P2;2023-12-14 02:13:19;0 days 00:00:37;0 days 00:00:37;37.0;0
2023-12-14;02:13:34;19,89;61.0;0.0;9.0;E2_P1;2023-12-14 02:13:34;0 days 00:00:15;0 days 00:00:15;15.0;0
2023-12-14;02:14:27;19,89;61.0;0.0;9.0;E2_P2;2023-12-14 02:14:27;0 days 00:00:53;0 days 00:00:53;53.0;0
2023-12-14;02:15:16;19,89;61.0;0.0;9.0;E2_P1;2023-12-14 02:15:16;0 days 00:00:49;0 days 00:00:49;49.0;0
2023-12-14;02:16:19;19,92;61.0;0.0;9.0;E2_P2;2023-12-14 02:16:19;0 days 00:01:03;0 days 00:01:03;63.0;0
2023-12-14;02:17:01;19,89;61.0;0.0;9.0;E2_P1;2023-12-14 02:17:01;0 days 00:00:42;0 days 00:00:42;42.0;0
2023-12-14;02:18:01;19,89;61.0;0.0;9.0;E2_P2;2023-12-14 02:18:01;0 days 00:01:00;0 days 00:01:00;60.0;0
2023-12-14;02:19:31;19,9;0.0;0.0;9.0;E2_P1;2023-12-14 02:19:31;0 days 00:01:30;0 days 00:01:30;90.0;0
2023-12-14;02:19:53;19,94;61.0;0.0;9.0;E2_P2;2023-12-14 02:19:53;0 days 00:00:22;0 days 00:00:22;22.0;0
2023-12-14;02:20:31;19,89;61.0;0.0;9.0;E2_P1;2023-12-14 02:20:31;0 days 00:00:38;0 days 00:00:38;38.0;0
2023-12-14;02:21:46;19,92;61.0;0.0;9.0;E2_P2;2023-12-14 02:21:46;0 days 00:01:15;0 days 00:01:15;75.0;0
2023-12-14;02:22:19;19,89;62.0;0.0;9.0;E2_P1;2023-12-14 02:22:19;0 days 00:00:33;0 days 00:00:33;33.0;0
2023-12-14;02:23:50;19,94;0.0;0.0;9.0;E2_P2;2023-12-14 02:23:50;0 days 00:01:31;0 days 00:01:31;91.0;0
2023-12-14;02:25:04;19,89;62.0;0.0;9.0;E2_P1;2023-12-14 02:25:04;0 days 00:01:14;0 days 00:01:14;74.0;0
2023-12-14;02:25:34;19,94;61.0;0.0;9.0;E2_P2;2023-12-14 02:25:34;0 days 00:00:30;0 days 00:00:30;30.0;0
2023-12-14;02:25:57;19,89;62.0;0.0;9.0;E2_P1;2023-12-14 02:25:57;0 days 00:00:23;0 days 00:00:23;23.0;0
2023-12-14;02:26:27;19,94;61.0;0.0;9.0;E2_P2;2023-12-14 02:26:27;0 days 00:00:30;0 days 00:00:30;30.0;0
2023-12-14;02:26:42;19,89;62.0;0.0;9.0;E2_P1;2023-12-14 02:26:42;0 days 00:00:15;0 days 00:00:15;15.0;0
2023-12-14;02:27:26;19,94;61.0;0.0;9.0;E2_P2;2023-12-14 02:27:26;0 days 00:00:44;0 days 00:00:44;44.0;0
2023-12-14;02:28:24;19,92;62.0;0.0;9.0;E2_P1;2023-12-14 02:28:24;0 days 00:00:58;0 days 00:00:58;58.0;0
2023-12-14;02:29:19;19,94;61.0;0.0;9.0;E2_P2;2023-12-14 02:29:19;0 days 00:00:55;0 days 00:00:55;55.0;0
2023-12-14;02:30:09;19,89;62.0;0.0;9.0;E2_P1;2023-12-14 02:30:09;0 days 00:00:50;0 days 00:00:50;50.0;0
2023-12-14;02:31:08;19,94;61.0;0.0;9.0;E2_P2;2023-12-14 02:31:08;0 days 00:00:59;0 days 00:00:59;59.0;0
2023-12-14;02:31:54;19,89;62.0;0.0;9.0;E2_P1;2023-12-14 02:31:54;0 days 00:00:46;0 days 00:00:46;46.0;0
2023-12-14;02:33:01;19,94;61.0;0.0;9.0;E2_P2;2023-12-14 02:33:01;0 days 00:01:07;0 days 00:01:07;67.0;0
2023-12-14;02:33:39;19,91;62.0;0.0;9.0;E2_P1;2023-12-14 02:33:39;0 days 00:00:38;0 days 00:00:38;38.0;0
2023-12-14;02:34:53;19,9;61.0;0.0;9.0;E2_P2;2023-12-14 02:34:53;0 days 00:01:14;0 days 00:01:14;74.0;0
2023-12-14;02:35:24;19,94;61.0;0.0;9.0;E2_P1;2023-12-14 02:35:24;0 days 00:00:31;0 days 00:00:31;31.0;0
2023-12-14;02:36:54;19,94;0.0;0.0;9.0;E2_P2;2023-12-14 02:36:54;0 days 00:01:30;0 days 00:01:30;90.0;0
2023-12-14;02:37:22;19,89;62.0;0.0;9.0;E2_P1;2023-12-14 02:37:22;0 days 00:00:28;0 days 00:00:28;28.0;0
2023-12-14;02:37:45;19,94;61.0;0.0;9.0;E2_P2;2023-12-14 02:37:45;0 days 00:00:23;0 days 00:00:23;23.0;0
2023-12-14;02:38:54;19,89;61.0;0.0;9.0;E2_P1;2023-12-14 02:38:54;0 days 00:01:09;0 days 00:01:09;69.0;0
2023-12-14;02:39:35;19,92;61.0;0.0;9.0;E2_P2;2023-12-14 02:39:35;0 days 00:00:41;0 days 00:00:41;41.0;0
2023-12-14;02:39:49;19,89;61.0;0.0;9.0;E2_P1;2023-12-14 02:39:49;0 days 00:00:14;0 days 00:00:14;14.0;0
2023-12-14;02:40:31;19,94;61.0;0.0;9.0;E2_P2;2023-12-14 02:40:31;0 days 00:00:42;0 days 00:00:42;42.0;0
2023-12-14;02:41:32;19,89;61.0;0.0;9.0;E2_P1;2023-12-14 02:41:32;0 days 00:01:01;0 days 00:01:01;61.0;0
2023-12-14;02:42:26;19,94;61.0;0.0;9.0;E2_P2;2023-12-14 02:42:26;0 days 00:00:54;0 days 00:00:54;54.0;0
